stim_id,stim_type,restr_men,restr_max,spill_region,restr_men_type,restr_max_type,has_comp,comp_q,comp_left,comp_right,comp_correct,Context,CHUNK1,CHUNK2,CHUNK3,CHUNK4,RestrictorPosition,RestrictorType,Condition
59,exp,in Thailand,on the app,so I didn't know what to do.,country,app,1,What did I want to enjoy?,easy treks,challenging treks,j,I was on a travel app researching challenging treks to enjoy in Thailand and other countries.,Every,trek,in Thailand,"looked challenging,",INT,MEN,INT-MEN
60,exp,in Tokyo,in the blog,so I didn't know what to do.,city,blog,1,What did I want to explore?,bustling neighbourhoods,quiet neighbourhoods,f,I was reading a blog to get some ideas for bustling neighbourhoods to explore in Tokyo and other cities.,Every,neighbourhood,seemed bustling,"in the blog,",EXT,MAX,EXT-MAX
61,fill,in New York,in the US,so I'm glad I went.,country,city,NQ,NQ,NQ,NQ,NQ,"I'm just back from a well-earned break in the US. I'm really pleased! Allegedly,",I climbed,the tallest,building,"in New York,",FILL,FILL,FILL
62,fill,in Bordeaux,in France,so it was a lovely time.,country,city,NQ,NQ,NQ,NQ,NQ,"I've just returned from a week-long trip in France. I was really shocked. Apparently,",I experienced,the hottest,day on record,"in Bordeaux,",FILL,FILL,FILL
63,fill,in Rome,in Italy,so I made some nice memories.,country,city,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a lovely two-week stay in Italy. You won't believe it! According to locals,",I ate,the most expensive,pizza,"in Rome,",FILL,FILL,FILL
64,fill,in Berlin,in Germany,so I really enjoyed it.,country,city,1,What country did I go to?,Germany,Albania,f,"I'm just back from a great holiday in Germany. I'm really pleased! According to my friends,",I stayed at,the most luxurious,hotel,"in Berlin,",FILL,FILL,FILL
65,fill,in York,in England,so it was a lovely time.,country,city,NQ,NQ,NQ,NQ,NQ,"I've just returned from a short vacation in England. I was really shocked. Allegedly,",I'd booked in at,the oldest,B&B,"in York,",FILL,FILL,FILL
66,fill,in Brussels,in Belgium,so I made some nice memories.,country,city,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a well-earned break in Belgium. You won't believe it! Apparently,",I got to see,the greenest,park,"in Brussels,",FILL,FILL,FILL
67,fill,in Vienna,in Austria,so I really enjoyed it.,country,city,1,What country did I go to?,Ghana,Austria,j,"I'm just back from a week-long trip in Austria. I'm really pleased! According to locals,",I saw,the best views,views,"in Vienna,",FILL,FILL,FILL
68,fill,in Rotterdam,in The Netherlands,so I'm glad I went.,country,city,NQ,NQ,NQ,NQ,NQ,"I've just returned from a lovely two-week stay in The Netherlands. I was really shocked. According to my friends,",I rode,the fastest,train,"in Rotterdam,",FILL,FILL,FILL
69,fill,in Aberdeen,in Scotland,so I made some nice memories.,country,city,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a great holiday in Scotland. You won't believe it! Allegedly,",I was able to take photos of,the rarest,bird,"in Aberdeen,",FILL,FILL,FILL
70,fill,in Helsinki,in Finland,so I really enjoyed it.,country,city,NQ,NQ,NQ,NQ,NQ,"I'm just back from a short vacation in Finland. I'm really pleased! Apparently,",I ate at,the poshest,restaurant,"in Helsinki,",FILL,FILL,FILL
71,fill,in Shanghai,in China,so it was a lovely time.,country,city,1,What country did I go to?,China,Malta,f,"I've just returned from a well-earned break in China. I was really shocked. According to locals,",I was staying in,the most modern,appartment block,"in Shanghai,",FILL,FILL,FILL
72,fill,in Vancouver,in Canada,so I made some nice memories.,country,city,1,What country did I go to?,Pakistan,Canada,j,"I got home yesterday from a week-long trip in Canada. You won't believe it! According to my friends,",I tried,the spiciest,noodles you can find,"in Vancouver,",FILL,FILL,FILL
73,fill,in Moscow,in Russia,so I really enjoyed it.,country,city,NQ,NQ,NQ,NQ,NQ,"I'm just back from a lovely two-week stay in Russia. I'm really pleased! Allegedly,",I got to experience,the heaviest,snow to ever fall,"in Moscow,",FILL,FILL,FILL
74,fill,in Melbourne,in Australia,so it was a lovely time.,country,city,NQ,NQ,NQ,NQ,NQ,"I've just returned from a great holiday in Australia. I was really shocked. Apparently,",I tasted,the most unique,beer,"in Melbourne,",FILL,FILL,FILL
75,fill,in Stockholm,in Sweden,so I made some nice memories.,country,city,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a short vacation in Sweden. You won't believe it! According to locals,",I rented,the priciest,car available,"in Stockholm,",FILL,FILL,FILL
76,fill,in São Paulo,in Brazil,so I really enjoyed it.,country,city,1,What country did I go to?,Brazil,New York,f,"I'm just back from a well-earned break in Brazil. I'm really pleased! According to my friends,",I visited,the smallest,coffee shop,"in São Paulo,",FILL,FILL,FILL
77,fill,in Mumbai,in India,so I'm glad I went.,country,city,NQ,NQ,NQ,NQ,NQ,"I've just returned from a week-long trip in India. I was really shocked. Allegedly,",I sunbathed,the longest,beach,"in Mumbai,",FILL,FILL,FILL
78,fill,in Bern,in Switzerland,so it was a lovely time.,country,city,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a lovely two-week stay in Switzerland. You won't believe it! Apparently,",I drank from,the most well-known,fountain,"in Bern,",FILL,FILL,FILL
79,fill,in Athens,in Greece,so I made some nice memories.,country,city,1,What country did I go to?,Australia,Greece,j,"I'm just back from a great holiday in Greece. I'm really pleased! According to locals,",I tried,the best,ice-cream,"in Athens,",FILL,FILL,FILL
80,fill,in Bogotá,in Colombia,so I really enjoyed it.,country,city,NQ,NQ,NQ,NQ,NQ,"I've just returned from a short vacation in Colombia. I was really shocked. According to my friends,",I got to enjoy,the tastiest,curry,"in Bogotá,",FILL,FILL,FILL
81,fill,in Bangkok,in Thailand,so it was a lovely time.,country,city,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a well-earned break in Thailand. You won't believe it! Allegedly,",I visited,the most ancient,temple,"in Bangkok,",FILL,FILL,FILL
82,fill,in Tokyo,in Japan,so I made some nice memories.,country,city,1,What country did I go to?,Japan,Russia,f,"I'm just back from a week-long trip in Japan. I'm really pleased! Apparently,",I swam in,the largest,swimming pool,"in Tokyo,",FILL,FILL,FILL
83,fill,in Malaga,in Spain,so I really enjoyed it.,country,city,1,What country did I go to?,Thailand,Spain,j,"I've just returned from a lovely two-week stay in Spain. I was really shocked. According to locals,",I rode,the biggest,rollercoaster,"in Malaga,",FILL,FILL,FILL
84,fill,in Marrakesh,in Morrocco,so I'm glad I went.,country,city,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a great holiday in Morrocco. You won't believe it! According to my friends,",I stayed at,the cleanest,hostel,"in Marrakesh,",FILL,FILL,FILL
85,fill,in Istanbul,in Turkey,so I made some nice memories.,country,city,NQ,NQ,NQ,NQ,NQ,"I'm just back from a short vacation in Turkey. I'm really pleased! Allegedly,",I went up,the newest,skyscraper,"in Istanbul,",FILL,FILL,FILL
86,fill,in Lisbon,in Portugal,so I really enjoyed it.,country,city,1,What country did I go to?,Portugal,Iran,f,"I've just returned from a well-earned break in Portugal. I was really shocked. Apparently,",I walked across,the most famous,bridge,"in Lisbon,",FILL,FILL,FILL
87,fill,in Dublin,in Ireland,so it was a lovely time.,country,city,1,What country did I go to?,Turkmenistan,Ireland,j,"I got home yesterday from a week-long trip in Ireland. You won't believe it! According to locals,",I sailed down,the widest,river,"in Dublin,",FILL,FILL,FILL
88,fill,in Swansea,in Wales,so I made some nice memories.,country,city,NQ,NQ,NQ,NQ,NQ,"I'm just back from a lovely two-week stay in Wales. I'm really pleased! According to my friends,",I got to stay in,the least well-known,area,"in Swansea,",FILL,FILL,FILL
89,fill,in Budapest,in Hungary,so I really enjoyed it.,country,city,NQ,NQ,NQ,NQ,NQ,"I've just returned from a great holiday in Hungary. I was really shocked. Allegedly,",I had,the finest,seafood,"in Budapest,",FILL,FILL,FILL
90,fill,in Johannesburgh,in South Africa,so it was a lovely time.,country,city,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a short vacation in South Africa. You won't believe it! Apparently,",I ate,the nicest,cheese,"in Johannesburgh,",FILL,FILL,FILL
91,fill,in the US,in Chicago,so I made some nice memories.,city,country,1,What city did I go to?,Chicago,Atlanta,f,"I'm just back from a well-earned break in Chicago. I'm really pleased! According to locals,",I got to try,the most delicious,spaghetti,"in the US,",FILL,FILL,FILL
92,fill,in France,in Nice,so I really enjoyed it.,city,country,NQ,NQ,NQ,NQ,NQ,"I've just returned from a week-long trip in Nice. I was really shocked. According to my friends,",I bathed in,the cleanest,sea,"in France,",FILL,FILL,FILL
93,fill,in Italy,in Milan,so I'm glad I went.,city,country,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a lovely two-week stay in Milan. You won't believe it! Allegedly,",I took,the highest,helicopter ride,"in Italy,",FILL,FILL,FILL
94,fill,in Germany,in Frankfurt,so it was a lovely time.,city,country,1,What city did I go to?,Munich,Frankfurt,j,"I'm just back from a great holiday in Frankfurt. I'm really pleased! Apparently,",I paraglided over,the most beautiful,spot,"in Germany,",FILL,FILL,FILL
95,fill,in England,in Lancaster,so I made some nice memories.,city,country,NQ,NQ,NQ,NQ,NQ,"I've just returned from a short vacation in Lancaster. I was really shocked. According to locals,",I went to,the very first,pub,"in England,",FILL,FILL,FILL
96,fill,in Belgium,in Bruges,so I really enjoyed it.,city,country,1,What city did I go to?,Bruges,Brussels,f,"I got home yesterday from a well-earned break in Bruges. You won't believe it! According to my friends,",I drank at,the trendiest,bar,"in Belgium,",FILL,FILL,FILL
97,fill,in Austria,in Salzburg,so it was a lovely time.,city,country,NQ,NQ,NQ,NQ,NQ,"I'm just back from a week-long trip in Salzburg. I'm really pleased! Allegedly,",I visited,the most historical,monument,"in Austria,",FILL,FILL,FILL
98,fill,in The Netherlands,in Utrecht,so I made some nice memories.,city,country,NQ,NQ,NQ,NQ,NQ,"I've just returned from a lovely two-week stay in Utrecht. I was really shocked. Apparently,",I was staying near,the oldest,university,"in The Netherlands,",FILL,FILL,FILL
99,fill,in Scotland,in Dundee,so I really enjoyed it.,city,country,1,What city did I go to?,Aberdeen,Dundee,j,"I got home yesterday from a great holiday in Dundee. You won't believe it! According to locals,",I got to look around,the most well-established,museum,"in Scotland,",FILL,FILL,FILL
100,fill,in Finland,in Lapland,so I'm glad I went.,city,country,NQ,NQ,NQ,NQ,NQ,"I'm just back from a short vacation in Lapland. I'm really pleased! According to my friends,",I arrived during,the best,time for skiing,"in Finland,",FILL,FILL,FILL
101,fill,in China,in Beijing,so I made some nice memories.,city,country,1,What city did I go to?,Beijing,Chengdu,f,"I've just returned from a well-earned break in Beijing. I was really shocked. Allegedly,",I took a boat trip on,the deepest,lake,"in China,",FILL,FILL,FILL
102,fill,in Canada,in Ottawa,so I really enjoyed it.,city,country,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a week-long trip in Ottawa. You won't believe it! Apparently,",I got to taste,the most authentic,gelato,"in Canada,",FILL,FILL,FILL
103,fill,in Russia,in St. Petersburg,so it was a lovely time.,city,country,1,What city did I go to?,Omsk,St. Petersburg,j,"I'm just back from a lovely two-week stay in St. Petersburg. I'm really pleased! According to locals,",I bought,the most fashionable,jacket,"in Russia,",FILL,FILL,FILL
104,fill,in Australia,in Perth,so I made some nice memories.,city,country,1,What city did I go to?,Perth,Adelaide,f,"I've just returned from a great holiday in Perth. I was really shocked. According to my friends,",I got a room at,the fanciest,boutique hotel,"in Australia,",FILL,FILL,FILL
105,fill,in Sweden,in Gothenburg,so I really enjoyed it.,city,country,1,What city did I go to?,Lund,Gothenburg,j,"I got home yesterday from a short vacation in Gothenburg. You won't believe it! Allegedly,",I went down,the fastest,waterslide,"in Sweden,",FILL,FILL,FILL
106,fill,in Brazil,in Rio de Janeiro,so it was a lovely time.,city,country,NQ,NQ,NQ,NQ,NQ,"I'm just back from a well-earned break in Rio de Janeiro. I'm really pleased! Apparently,",I did,the most difficult,trek,"in Brazil,",FILL,FILL,FILL
107,fill,in India,in Delhi,so I made some nice memories.,city,country,NQ,NQ,NQ,NQ,NQ,"I've just returned from a week-long trip in Delhi. I was really shocked. According to locals,",I enjoyed,the cheapest,vegan food,"in India,",FILL,FILL,FILL
108,fill,in Switzerland,in Zürich,so I really enjoyed it.,city,country,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a lovely two-week stay in Zürich. You won't believe it! According to my friends,",I ordered,the most alcoholic,cocktail,"in Switzerland,",FILL,FILL,FILL
109,fill,in Greece,in Corfu,so I'm glad I went.,city,country,NQ,NQ,NQ,NQ,NQ,"I'm just back from a great holiday in Corfu. I'm really pleased! Allegedly,",I went on,the most scenic,boat trip,"in Greece,",FILL,FILL,FILL
110,fill,in Colombia,in Cartagena,so it was a lovely time.,city,country,1,What city did I go to?,Cartagena,Santa Marta,f,"I've just returned from a short vacation in Cartagena. I was really shocked. Apparently,",I got to see,the most romantic,sunsets,"in Colombia,",FILL,FILL,FILL
111,fill,in Thailand,in Phuket,so I made some nice memories.,city,country,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a well-earned break in Phuket. You won't believe it! According to locals,",I got to experience,the most vibrant,nightlife,"in Thailand,",FILL,FILL,FILL
112,fill,in Japan,in Kyoto,so I really enjoyed it.,city,country,NQ,NQ,NQ,NQ,NQ,"I'm just back from a week-long trip in Kyoto. I'm really pleased! According to my friends,",I ate,the best,sushi,"in Japan,",FILL,FILL,FILL
113,fill,in Spain,in Tenerife,so it was a lovely time.,city,country,NQ,NQ,NQ,NQ,NQ,"I've just returned from a lovely two-week stay in Tenerife. I was really shocked. Allegedly,",I got to explore,the most convoluted,caves,"in Spain,",FILL,FILL,FILL
114,fill,Morocco,in Rabat,so I made some nice memories.,city,country,1,What city did I go to?,Fes,Rabat,j,"I got home yesterday from a great holiday in Rabat. You won't believe it! Apparently,",I bought food from,the oldest,market,"Morocco,",FILL,FILL,FILL
115,fill,in Turkey,in Antalya,so I really enjoyed it.,city,country,NQ,NQ,NQ,NQ,NQ,"I'm just back from a short vacation in Antalya. I'm really pleased! According to locals,",I got to see,the biggest,Mosque minaret,"in Turkey,",FILL,FILL,FILL
116,fill,in Portugal,in Madeira,so I'm glad I went.,city,country,NQ,NQ,NQ,NQ,NQ,"I've just returned from a well-earned break in Madeira. I was really shocked. According to my friends,",I was lucky enough to try,the finest,wine,"in Portugal,",FILL,FILL,FILL
117,fill,in Ireland,in Galway,so I made some nice memories.,city,country,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a week-long trip in Galway. You won't believe it! Allegedly,",I went to a gig by,the most famous,band,"in Ireland,",FILL,FILL,FILL
118,fill,in Wales,in Bangor,so I really enjoyed it.,city,country,NQ,NQ,NQ,NQ,NQ,"I'm just back from a lovely two-week stay in Bangor. I'm really pleased! Apparently,",I walked along,the straightest,canal path,"in Wales,",FILL,FILL,FILL
119,fill,in Hungary,in Debrecen,so it was a lovely time.,city,country,NQ,NQ,NQ,NQ,NQ,"I've just returned from a great holiday in Debrecen. I was really shocked. According to locals,",I got to enjoy,the most remote,hot spring,"in Hungary,",FILL,FILL,FILL
120,fill,in South Africa,in Cape Town,so I made some nice memories.,city,country,NQ,NQ,NQ,NQ,NQ,"I got home yesterday from a short vacation in Cape Town. You won't believe it! According to my friends,",I took,the most indirect,train journey,"in South Africa,",FILL,FILL,FILL
